file,session_started,n_calls,n_success,n_failed,models,lat_ms_p50,lat_ms_mean,lat_ms_max,sum_llm_s,wall_span_s,llm_share
llm-communication-20260130-171402.log,2026-01-30T17:14:02.880000,42,37,5,"{""local|qwen3-coder:30b"": 42}",11324.0,44665.0,241079,1875.9,1935.1,0.969
llm-communication-20260130-175746.log,2026-01-30T17:57:46.126000,54,49,5,"{""local|qwen3-coder:30b"": 54}",12001.5,36257.2,241052,1957.9,2043.3,0.958
llm-communication-20260130-183440.log,2026-01-30T18:34:40.822000,385,380,4,"{""local|qwen3-coder:30b"": 385}",11731.0,15716.0,241065,6035.0,6818.3,0.885
llm-communication-20260130-202926.log,2026-01-30T20:29:26.174000,66,62,4,"{""local|qwen3-coder:30b"": 66}",11792.0,27727.0,241060,1830.0,1926.1,0.95
llm-communication-20260130-210815.log,2026-01-30T21:08:15.259000,3664,3638,25,"{""local|qwen3-coder:30b"": 3664}",9885,13667.6,241084,50064.4,61624.1,0.812
llm-communication-20260131-141714.log,2026-01-31T14:17:14.917000,6084,6048,36,"{""local|qwen3-coder:30b"": 6084}",10061.5,13241.4,241106,80560.6,98662.2,0.817
llm-communication-20260322-170926.log,2026-03-22T17:09:26.469000,47,46,0,"{""local|qwen3-coder:30b"": 47}",24846.0,24071.9,39389,1107.3,1108.3,0.999
llm-communication-20260322-173146.log,2026-03-22T17:31:46.233000,0,0,0,{},,,,0.0,,
llm-communication-20260322-182603.log,2026-03-22T18:26:03.881000,539,485,54,"{""local|qwen3-coder:30b"": 539}",3289,34754.5,241015,18732.7,18745.1,0.999
llm-communication-20260323-120906.log,2026-03-23T12:09:06.105000,0,0,0,{},,,,0.0,,
llm-communication-20260323-121311.log,2026-03-23T12:13:11.911000,508,455,52,"{""local|qwen3-coder:30b"": 508}",3289,35663.3,241037,18081.3,18089.4,1.0
llm-communication-20260323-172201.log,2026-03-23T17:22:01.120000,56,55,0,"{""local|qwen3-coder:30b"": 56}",2097,4808.2,123109,264.4,266.2,0.994
llm-communication-20260323-173106.log,2026-03-23T17:31:06.905000,10,9,0,"{""local|qwen2.5-coder:14b"": 10}",2306,3032.8,6588,27.3,28.0,0.975
llm-communication-20260323-173531.log,2026-03-23T17:35:31.556000,7672,7671,1,"{""local|qwen2.5-coder:14b"": 7672}",5496.0,6883.6,241013,52811.0,126226.3,0.418
llm-communication-20260325-123512.log,2026-03-25T12:35:12.618000,707,707,0,"{""local|qwen2.5-coder:14b"": 707}",2574,4334.4,128433,3064.4,6552.0,0.468
llm-communication-20260325-152307.log,2026-03-25T15:23:07.766000,2390,2385,5,"{""local|qwen2.5-coder:14b"": 2390}",5250.5,9365.1,241009,22382.7,84304.4,0.265
llm-communication-20260327-202356.log,2026-03-27T20:23:56.029000,3667,3666,1,"{""local|qwen2.5-coder:14b"": 3667}",5179,8102.5,241010,29712.0,100116.0,0.297
